paradigm,method,dataset_or_workload,sample_or_seed,repeat,embedding_seconds,baseline_generation_seconds,watermarked_generation_seconds,paired_generation_delta_seconds,extraction_seconds,embedding_reference_tokens,extraction_reference_tokens,embedding_ms_per_1k_tokens,baseline_generation_ms_per_1k_tokens,watermarked_generation_ms_per_1k_tokens,paired_generation_delta_ms_per_1k_tokens,extraction_ms_per_1k_tokens
logits-bias,WLLM,p07_calculator_cpp_tokens,20260917,0,2.400281780399,19.311939720996,21.712221501395,2.400281780399,0.793414711021,256,256,9376.100704685,75437.264535140,84813.365239825,9376.100704685,3099.276214925
logits-bias,WLLM,p07_calculator_java_token_type,20260918,0,1.829697464593,19.522709557787,21.352407022379,1.829697464593,0.854537710547,256,256,7147.255721065,76260.584210104,83407.839931169,7147.255721065,3338.037931826
logits-bias,WLLM,p07_calculator_python_errors,20260919,0,1.697837949730,19.530536388978,21.228374338709,1.697837949730,0.878007231280,256,256,6632.179491135,76291.157769447,82923.337260581,6632.179491135,3429.715747188
logits-bias,WLLM,p10_crud_cpp_record,20260920,0,1.998158553615,19.377805997618,21.375964551233,1.998158553615,0.900701380335,256,256,7805.306850059,75694.554678194,83499.861528253,7805.306850059,3518.364766933
logits-bias,WLLM,p10_crud_java_user,20260921,0,1.769738773815,19.653885583393,21.423624357209,1.769738773815,0.921423214488,256,256,6913.042085216,76772.990560130,83686.032645346,6913.042085216,3599.309431593
logits-bias,WLLM,p10_crud_python_errors,20260922,0,1.466354567558,20.091046548449,21.557401116006,1.466354567558,0.857687588781,256,256,5727.947529522,78480.650579877,84208.598109399,5727.947529522,3350.342143676
logits-bias,WLLM,p07_calculator_cpp_tokens,20260923,1,1.755223690532,19.428853465244,21.184077155776,1.755223690532,0.897153503262,256,256,6856.342541141,75893.958848610,82750.301389751,6856.342541141,3504.505872115
logits-bias,WLLM,p07_calculator_java_token_type,20260924,1,2.029806958511,19.859859252349,21.889666210860,2.029806958511,0.853121856228,256,256,7928.933431685,77577.575204486,85506.508636172,7928.933431685,3332.507250889
logits-bias,WLLM,p07_calculator_python_errors,20260925,1,2.001131507568,19.560619553551,21.561751061119,2.001131507568,0.858387074433,256,257,7816.919951438,76408.670131059,84225.590082497,7816.919951438,3340.027526978
logits-bias,WLLM,p10_crud_cpp_record,20260926,1,3.285311022773,19.656719462946,22.942030485719,3.285311022773,0.997088039294,256,256,12833.246182709,76784.060402133,89617.306584842,12833.246182709,3894.875153492
