paradigm,method,dataset_or_workload,sample_or_seed,repeat,input_or_prompt_tokens,generated_or_watermarked_tokens,extraction_reference_tokens,baseline_generated_tokens,input_internal_tokens,watermarked_internal_tokens,input_model_tokens,watermarked_model_tokens,input_truncated,watermarked_truncated,input_sha256,output_sha256,baseline_output_sha256,tokenizer_identifier,pair_order
logits-bias,WLLM,p07_calculator_cpp_tokens,20260917,0,6162,256,256,256,,,,,,,98bc86d9e70e7ca4ce5bae262aca867f887241c495d201edbb297e2f42979b27,ceed0194c3b4a12459f37c2726f5f3eaf6fa71c3f871a08c15a4701abe7e2311,28c877f80cd9c7581cc7097f0dbb1f13b1d6672a9afe080ae9e7bcaa62a5f6f8,Qwen/Qwen3-Coder-30B-A3B-Instruct,baseline_then_watermark
logits-bias,WLLM,p07_calculator_java_token_type,20260918,0,7243,256,256,256,,,,,,,b5e869b13264b494ed747ec6ae960fcd23c8c63ae31e0dfa69e59c475db0f2f8,462c08cd382b48a71bf741836f82ea05241a75ed5353d5db03808ae3f081de24,f1f4fe4b25d227fc40ba83fb94ccc15326a460ae8253758c1a0a8c9fbf81f56a,Qwen/Qwen3-Coder-30B-A3B-Instruct,watermark_then_baseline
logits-bias,WLLM,p07_calculator_python_errors,20260919,0,8405,256,256,256,,,,,,,92c1499a6eca914c19812fbbbc162ff81f0c9527b1c1f9fa0d1b0970d0739da4,f848fd648b90719f312e7bf2ea4fd6cfcf61f099d5bf6ef0357b0177c01d9c5b,deaffe07f1cb667ccf307d0452aa106b742214b2701c38036b29714f194262c6,Qwen/Qwen3-Coder-30B-A3B-Instruct,baseline_then_watermark
logits-bias,WLLM,p10_crud_cpp_record,20260920,0,9264,256,256,256,,,,,,,a79207132d1db68eb661d4a2a82d879bbb43ee370bc8ed44f0c4fd62a635cba6,a3350f3e9520612e90be7d6d331bfeee88e26e8086bb3058c67a98ec6861ba98,73218816c6168f6a15128f8d0c9d8abeb5da94e09f29fb986aa8e12ae089dc94,Qwen/Qwen3-Coder-30B-A3B-Instruct,watermark_then_baseline
logits-bias,WLLM,p10_crud_java_user,20260921,0,10418,256,256,256,,,,,,,be7ed147395e2d67289588def2d7610f412e37d3372c4cc848e94353874d97dc,cc91c7acefb59006271e7d5c67bfdf957aa0e286ef5d19bb9ce757cc149aaa67,cc91c7acefb59006271e7d5c67bfdf957aa0e286ef5d19bb9ce757cc149aaa67,Qwen/Qwen3-Coder-30B-A3B-Instruct,baseline_then_watermark
logits-bias,WLLM,p10_crud_python_errors,20260922,0,9245,256,256,256,,,,,,,627a62ddcf6bacde36ceeac2c5be9584b40da4c079c4e0bfaf1e4f1a08bcf2e2,9bdffe938738f75c82cf3c0a45871ed8a4d06a135f168d32a9bad82f2f812b6e,0ec98ba918f5846570988b06199801c9e01f61124023f390e987ca341f65ecd7,Qwen/Qwen3-Coder-30B-A3B-Instruct,watermark_then_baseline
logits-bias,WLLM,p07_calculator_cpp_tokens,20260923,1,6162,256,256,256,,,,,,,98bc86d9e70e7ca4ce5bae262aca867f887241c495d201edbb297e2f42979b27,635740587c8f4f153de9c907c444d53ac19b2055b65946c2aeca26515c251d6f,c7c9c8e96ce6ababc608010976396d7436cc67bd16ab3fa9ae834c8a68466c26,Qwen/Qwen3-Coder-30B-A3B-Instruct,watermark_then_baseline
logits-bias,WLLM,p07_calculator_java_token_type,20260924,1,7243,256,256,256,,,,,,,b5e869b13264b494ed747ec6ae960fcd23c8c63ae31e0dfa69e59c475db0f2f8,145ecc20937049a6714196b25381b62accff840e4f58e30794c2f77c38492da3,cb3a1329f66255450cef34dd1cb28981ce970771520ae26802e569ce4c8e1ef8,Qwen/Qwen3-Coder-30B-A3B-Instruct,baseline_then_watermark
logits-bias,WLLM,p07_calculator_python_errors,20260925,1,8405,256,257,256,,,,,,,92c1499a6eca914c19812fbbbc162ff81f0c9527b1c1f9fa0d1b0970d0739da4,52de24965e98e3865b8107d88e2f105dc64d304e19f103628fa0f011cd0e1d5d,cba6bbdbd52ddc0fc057c0297aec0e7151f1d36f91226e00c4823df63186c5e2,Qwen/Qwen3-Coder-30B-A3B-Instruct,watermark_then_baseline
logits-bias,WLLM,p10_crud_cpp_record,20260926,1,9264,256,256,256,,,,,,,a79207132d1db68eb661d4a2a82d879bbb43ee370bc8ed44f0c4fd62a635cba6,b560a6a646edb012f27a0500e416abe22f9e43fc387163f35dbcb6a899064761,060b33e87160e4d2aede7ce694a5f5bc7d0ba19c7b4cdd0f0e22460f47706d4d,Qwen/Qwen3-Coder-30B-A3B-Instruct,baseline_then_watermark
