dataset,dataset_label,language,channel,n_total,n_baseline_pass,n_changed,n_syntax_valid_changed,n_post_pass,attack_coverage,syntax_validity_given_changed,EPR
mbcpp,MBCPP,C++,id,764,763,763,763,756,1.0,1.0,0.9908256880733946
mbcpp,MBCPP,C++,expr,764,763,763,763,763,1.0,1.0,1.0
mbcpp,MBCPP,C++,block,764,763,763,763,754,1.0,1.0,0.9882044560943644
mbcpp,MBCPP,C++,all,764,763,763,763,748,1.0,1.0,0.9803407601572739
mbjp,MBJP,Java,id,842,842,842,842,834,1.0,1.0,0.9904988123515439
mbjp,MBJP,Java,expr,842,842,842,842,842,1.0,1.0,1.0
mbjp,MBJP,Java,block,842,842,842,842,835,1.0,1.0,0.9916864608076009
mbjp,MBJP,Java,all,842,842,842,842,829,1.0,1.0,0.9845605700712589
mbjsp,MBJSP,JavaScript,id,797,795,788,788,761,0.9911949685534591,1.0,0.9657360406091371
mbjsp,MBJSP,JavaScript,expr,797,795,788,788,781,0.9911949685534591,1.0,0.9911167512690355
mbjsp,MBJSP,JavaScript,block,797,795,788,788,781,0.9911949685534591,1.0,0.9911167512690355
mbjsp,MBJSP,JavaScript,all,797,795,788,788,760,0.9911949685534591,1.0,0.9644670050761421
