watermark_method,project,response_points,evaluated_points,parameter_runs,Pass,BE,TE,RE,Excluded,point_pooled_pass_rate,pass_strength_mean,pass_strength_median,pass_strength_q1,pass_strength_q3,pass_strength_iqr,run_balanced_pass_rate,run_balanced_mean_pass_strength,runs_with_pass
codeip,brick_breaker,95,95,4,19,49,27,0,0,0.2,1.957895,1.8,0.65,2.8,2.15,0.20337,2.447179,3
codeip,caro,73,73,3,23,25,20,5,0,0.315068,1.8,1.7,0.95,2.1,1.15,0.320606,1.832593,3
codeip,flappy_bird,51,51,3,3,37,11,0,0,0.058824,1.833333,1.5,1.1,2.4,1.3,0.058824,1.833333,1
codeip,snake,75,75,3,2,51,22,0,0,0.026667,1.4,1.4,0.75,2.05,1.3,0.027778,1.4,2
codeip,tank_battle,73,73,3,18,40,14,1,0,0.246575,1.594444,1.15,0.9,2.375,1.475,0.275397,1.273737,3
ewd,brick_breaker,571,568,18,121,320,119,8,3,0.213028,1.687603,1.4,0.4,2.8,2.4,0.20566,1.326127,15
ewd,caro,605,602,18,196,214,173,19,3,0.325581,1.783163,1.6,0.7,2.6,1.9,0.32939,1.554597,17
ewd,flappy_bird,589,589,18,38,293,251,7,0,0.064516,2.157895,2.25,0.95,3.1,2.15,0.061473,2.005,9
ewd,snake,679,679,18,82,405,189,3,0,0.120766,1.869512,1.9,0.725,2.825,2.1,0.120525,2.078919,13
ewd,tank_battle,592,592,18,95,357,112,28,0,0.160473,1.129474,0.9,0.4,1.6,1.2,0.171341,0.978998,15
stone,brick_breaker,521,507,18,102,294,109,2,14,0.201183,1.272549,1.2,0.3,2.0,1.7,0.187825,0.87308,12
stone,caro,476,473,18,184,144,134,11,3,0.389006,1.882065,1.7,0.8,2.8,2.0,0.408331,1.709912,18
stone,flappy_bird,519,506,18,40,259,203,4,13,0.079051,2.0875,2.3,0.95,2.95,2.0,0.077314,1.610357,9
stone,snake,619,619,18,89,347,171,12,0,0.14378,1.864045,1.7,0.6,3.1,2.5,0.141987,1.650945,16
stone,tank_battle,541,538,18,122,325,76,15,3,0.226766,1.378689,1.1,0.5,2.075,1.575,0.233246,0.871751,16
sweet,brick_breaker,161,161,9,35,87,39,0,0,0.217391,1.048571,0.6,0.3,1.8,1.5,0.178536,0.830303,6
sweet,caro,145,145,9,67,35,39,4,0,0.462069,1.714925,1.4,0.8,2.3,1.5,0.514958,1.649171,9
sweet,flappy_bird,167,158,9,7,88,63,0,9,0.044304,0.428571,0.1,0.1,0.8,0.7,0.082545,0.42,5
sweet,snake,208,206,9,21,120,60,5,2,0.101942,1.438095,1.2,0.5,2.3,1.8,0.099144,1.170476,7
sweet,tank_battle,177,177,9,57,90,22,8,0,0.322034,0.866667,0.6,0.4,1.1,0.7,0.342669,0.856058,9
waterfall,brick_breaker,214,214,4,69,91,46,8,0,0.32243,4.47971,2.9,1.6,6.4,4.8,0.329629,5.837083,4
waterfall,caro,170,170,3,68,44,51,7,0,0.4,4.126471,3.25,1.4,5.2,3.8,0.447863,4.179663,3
waterfall,flappy_bird,200,199,3,8,108,83,0,1,0.040201,1.2375,0.45,0.375,1.375,1.0,0.045039,1.5,3
waterfall,snake,192,192,3,27,109,53,3,0,0.140625,3.907407,3.0,1.95,5.85,3.9,0.131182,3.144912,3
waterfall,tank_battle,161,161,3,16,118,25,2,0,0.099379,1.7125,1.35,0.75,2.425,1.675,0.105236,2.334722,3
wllm,brick_breaker,245,223,9,41,125,57,0,22,0.183857,1.317073,0.8,0.5,2.0,1.5,0.161817,1.19746,5
wllm,caro,228,228,9,60,95,66,7,0,0.263158,1.91,1.6,0.875,3.025,2.15,0.307788,1.872987,9
wllm,flappy_bird,233,233,9,13,118,98,4,0,0.055794,1.523077,1.0,0.1,2.8,2.7,0.098944,1.320833,8
wllm,snake,296,296,9,33,172,85,6,0,0.111486,2.70303,3.0,1.0,3.9,2.9,0.103581,2.209493,7
wllm,tank_battle,265,265,9,69,146,35,15,0,0.260377,1.434783,1.2,0.5,2.3,1.8,0.271764,1.186471,9
