watermark_method,project,language,response_points,evaluated_points,parameter_runs,Pass,BE,TE,RE,Excluded,point_pooled_pass_rate,pass_strength_mean,pass_strength_median,pass_strength_q1,pass_strength_q3,pass_strength_iqr,run_balanced_pass_rate,run_balanced_mean_pass_strength,runs_with_pass
codeip,brick_breaker,cpp,27,27,1,0,27,0,0,0,0.0,,,,,,0.0,,0
codeip,brick_breaker,java,23,23,1,1,22,0,0,0,0.043478,4.2,4.2,4.2,4.2,0.0,0.043478,4.2,1
codeip,brick_breaker,python,45,45,2,18,0,27,0,0,0.4,1.833333,1.8,0.625,2.65,2.025,0.385,1.570769,2
codeip,caro,cpp,23,23,1,9,14,0,0,0,0.391304,1.277778,1.4,0.6,1.7,1.1,0.391304,1.277778,1
codeip,caro,java,24,24,1,10,10,0,4,0,0.416667,2.17,1.9,1.1,3.15,2.05,0.416667,2.17,1
codeip,caro,python,26,26,1,4,1,20,1,0,0.153846,2.05,1.85,1.6,2.3,0.7,0.153846,2.05,1
codeip,flappy_bird,cpp,23,23,1,0,23,0,0,0,0.0,,,,,,0.0,,0
codeip,flappy_bird,java,17,17,1,3,14,0,0,0,0.176471,1.833333,1.5,1.1,2.4,1.3,0.176471,1.833333,1
codeip,flappy_bird,python,11,11,1,0,0,11,0,0,0.0,,,,,,0.0,,0
codeip,snake,cpp,27,27,1,0,27,0,0,0,0.0,,,,,,0.0,,0
codeip,snake,java,24,24,1,1,23,0,0,0,0.041667,2.7,2.7,2.7,2.7,0.0,0.041667,2.7,1
codeip,snake,python,24,24,1,1,1,22,0,0,0.041667,0.1,0.1,0.1,0.1,0.0,0.041667,0.1,1
codeip,tank_battle,cpp,15,15,1,6,9,0,0,0,0.4,0.866667,1.0,0.6,1.175,0.575,0.4,0.866667,1
codeip,tank_battle,java,30,30,1,1,29,0,0,0,0.033333,0.9,0.9,0.9,0.9,0.0,0.033333,0.9,1
codeip,tank_battle,python,28,28,1,11,2,14,1,0,0.392857,2.054545,2.3,1.05,2.7,1.65,0.392857,2.054545,1
ewd,brick_breaker,cpp,147,144,6,28,116,0,0,3,0.194444,1.832143,1.75,0.275,3.05,2.775,0.192369,1.008182,6
ewd,brick_breaker,java,210,210,6,4,203,0,3,0,0.019048,2.225,2.15,1.325,3.05,1.725,0.019322,1.95,3
ewd,brick_breaker,python,214,214,6,89,1,119,5,0,0.415888,1.617978,1.4,0.5,2.5,2.0,0.405289,1.332137,6
ewd,caro,cpp,171,171,6,62,108,1,0,0,0.362573,1.645161,1.35,0.525,2.4,1.875,0.357466,1.100833,6
ewd,caro,java,188,185,6,68,100,4,13,3,0.367568,1.833824,1.7,0.775,2.825,2.05,0.368574,1.79778,5
ewd,caro,python,246,246,6,66,6,168,6,0,0.268293,1.860606,1.75,0.8,2.6,1.8,0.26213,1.805708,6
ewd,flappy_bird,cpp,131,131,6,5,126,0,0,0,0.038168,2.42,3.1,0.6,3.2,2.6,0.033673,2.1,2
ewd,flappy_bird,java,211,211,6,29,167,8,7,0,0.137441,2.1,2.2,1.4,3.0,1.6,0.134846,1.862333,5
ewd,flappy_bird,python,247,247,6,4,0,243,0,0,0.016194,2.25,2.75,1.75,3.25,1.5,0.015901,2.266667,2
ewd,snake,cpp,221,221,6,9,212,0,0,0,0.040724,1.955556,1.9,1.8,2.3,0.5,0.041931,1.989286,2
ewd,snake,java,218,218,6,18,193,5,2,0,0.082569,1.938889,2.0,0.525,3.275,2.75,0.085414,2.45381,5
ewd,snake,python,240,240,6,55,0,184,1,0,0.229167,1.832727,1.9,0.8,2.6,1.8,0.234229,1.796389,6
ewd,tank_battle,cpp,174,174,6,30,144,0,0,0,0.172414,0.946667,0.85,0.425,1.3,0.875,0.177397,0.811508,6
