watermark_method,project,language,seed_group,rng_seed,method_config,response_points,evaluated_points,parameter_runs,Pass,BE,TE,RE,Excluded,point_pooled_pass_rate,pass_strength_mean,pass_strength_median,pass_strength_q1,pass_strength_q3,pass_strength_iqr,run_balanced_pass_rate,run_balanced_mean_pass_strength,runs_with_pass
codeip,brick_breaker,cpp,,3047071552,brick_breaker_game_codeip_T=0.7_rngS=3047071552_gamma=3_mode=random_messageLen=20_encodeRatio=10.0_topK=1000,27,27,1,0,27,0,0,0,0.0,,,,,,0.0,,0
codeip,brick_breaker,java,,3224345906,brick_breaker_game_codeip_T=0.7_rngS=3224345906_gamma=3_mode=random_messageLen=20_encodeRatio=10.0_topK=1000,23,23,1,1,22,0,0,0,0.043478,4.2,4.2,4.2,4.2,0.0,0.043478,4.2,1
codeip,brick_breaker,python,1082524405,1082524405,brick_breaker_game_codeip_T=0.7_rngS=1082524405_gamma=3_mode=random_messageLen=20_encodeRatio=10.0_topK=1000,20,20,1,5,0,15,0,0,0.25,0.98,0.9,0.5,1.6,1.1,0.25,0.98,1
codeip,brick_breaker,python,4058173393,4058173393,brick_breaker_game_codeip_T=0.7_rngS=4058173393_gamma=3_mode=random_messageLen=20_encodeRatio=10.0_topK=1000,25,25,1,13,0,12,0,0,0.52,2.161538,2.4,0.7,2.9,2.2,0.52,2.161538,1
codeip,caro,cpp,,3627467929,caro_game_codeip_T=0.7_rngS=3627467929_gamma=3_mode=random_messageLen=20_encodeRatio=10.0_topK=1000,23,23,1,9,14,0,0,0,0.391304,1.277778,1.4,0.6,1.7,1.1,0.391304,1.277778,1
codeip,caro,java,,2285465881,caro_game_codeip_T=0.7_rngS=2285465881_gamma=3_mode=random_messageLen=20_encodeRatio=10.0_topK=1000,24,24,1,10,10,0,4,0,0.416667,2.17,1.9,1.1,3.15,2.05,0.416667,2.17,1
codeip,caro,python,1598859076,1598859076,caro_game_codeip_T=0.7_rngS=1598859076_gamma=3_mode=random_messageLen=20_encodeRatio=10.0_topK=1000,26,26,1,4,1,20,1,0,0.153846,2.05,1.85,1.6,2.3,0.7,0.153846,2.05,1
codeip,flappy_bird,cpp,,95729506,flappy_bird_game_codeip_T=0.7_rngS=95729506_gamma=3_mode=random_messageLen=20_encodeRatio=10.0_topK=1000,23,23,1,0,23,0,0,0,0.0,,,,,,0.0,,0
codeip,flappy_bird,java,,1385953100,flappy_bird_game_codeip_T=0.7_rngS=1385953100_gamma=3_mode=random_messageLen=20_encodeRatio=10.0_topK=1000,17,17,1,3,14,0,0,0,0.176471,1.833333,1.5,1.1,2.4,1.3,0.176471,1.833333,1
codeip,flappy_bird,python,,1716196616,flappy_bird_game_codeip_T=0.7_rngS=1716196616_gamma=3_mode=random_messageLen=20_encodeRatio=10.0_topK=1000,11,11,1,0,0,11,0,0,0.0,,,,,,0.0,,0
codeip,snake,cpp,,3908348467,snake_game_codeip_T=0.7_rngS=3908348467_gamma=3_mode=random_messageLen=20_encodeRatio=10.0_topK=1000,27,27,1,0,27,0,0,0,0.0,,,,,,0.0,,0
