Repository,Method,AUROC_0.5,AUROC_1.0,AUROC_2.0,AUROC_3.0,Pool,FNR5,SourceLog,SavedCSV,SavedSummaryJSON
Brick Breaker,WLLM,62.75,73.50,94.75,97.50,82.13,47.50,log(9).txt,/home/zhaorz/project/CodeWM/results/det_eval_brick_breaker_game_wllm_20260129_064927.csv,/home/zhaorz/project/CodeWM/results/det_eval_brick_breaker_game_wllm_20260129_064927_summary.json
Brick Breaker,EWD,96.50,100.00,100.00,100.00,99.13,6.25,log(9).txt,/home/zhaorz/project/CodeWM/results/det_eval_brick_breaker_game_ewd_20260129_221714.csv,/home/zhaorz/project/CodeWM/results/det_eval_brick_breaker_game_ewd_20260129_221714_summary.json
Brick Breaker,SWEET,80.75,96.00,100.00,100.00,94.19,21.25,log(9).txt,/home/zhaorz/project/CodeWM/results/det_eval_brick_breaker_game_sweet_20260129_150716.csv,/home/zhaorz/project/CodeWM/results/det_eval_brick_breaker_game_sweet_20260129_150716_summary.json
Brick Breaker,STONE,56.25,55.50,69.75,81.00,65.63,75.00,log(9).txt,/home/zhaorz/project/CodeWM/results/det_eval_brick_breaker_game_stone_20260130_052343.csv,/home/zhaorz/project/CodeWM/results/det_eval_brick_breaker_game_stone_20260130_052343_summary.json
Brick Breaker,Waterfall,48.75,79.25,92.00,100.00,80.00,46.25,log(9).txt,/home/zhaorz/project/CodeWM/results/det_eval_brick_breaker_game_waterfall_20260130_123049.csv,/home/zhaorz/project/CodeWM/results/det_eval_brick_breaker_game_waterfall_20260130_123049_summary.json
Calculator,WLLM,47.75,65.00,74.75,74.25,65.44,90.00,log(20260915-171046).txt,/home/zhaorz/project/CodeWM/results/det_eval_tiny_calculator_wllm_20260127_134005.csv,/home/zhaorz/project/CodeWM/results/det_eval_tiny_calculator_wllm_20260127_134005_summary.json
Calculator,EWD,0.00,0.00,6.00,9.25,3.81,98.75,log(20260915-171046).txt,/home/zhaorz/project/CodeWM/results/det_eval_tiny_calculator_ewd_20260127_210751.csv,/home/zhaorz/project/CodeWM/results/det_eval_tiny_calculator_ewd_20260127_210751_summary.json
Calculator,SWEET,75.00,94.50,100.00,100.00,92.38,21.25,log(20260915-171046).txt,/home/zhaorz/project/CodeWM/results/det_eval_tiny_calculator_sweet_20260127_174402.csv,/home/zhaorz/project/CodeWM/results/det_eval_tiny_calculator_sweet_20260127_174402_summary.json
Calculator,STONE,40.88,43.38,48.00,63.00,48.81,92.50,log(20260915-171046).txt,/home/zhaorz/project/CodeWM/results/det_eval_tiny_calculator_stone_20260128_003014.csv,/home/zhaorz/project/CodeWM/results/det_eval_tiny_calculator_stone_20260128_003014_summary.json
Calculator,Waterfall,59.75,65.00,76.00,93.00,73.44,73.75,log(20260915-171046).txt,/home/zhaorz/project/CodeWM/results/det_eval_tiny_calculator_waterfall_20260128_034936.csv,/home/zhaorz/project/CodeWM/results/det_eval_tiny_calculator_waterfall_20260128_034936_summary.json
Snake Game,WLLM,54.75,64.75,83.50,85.25,72.06,63.75,log(20260915-171053).txt,/home/zhaorz/project/CodeWM/results/det_eval_tiny_snake_game_wllm_20260125_183802.csv,/home/zhaorz/project/CodeWM/results/det_eval_tiny_snake_game_wllm_20260125_183802_summary.json
Snake Game,EWD,79.00,83.00,91.75,96.75,87.63,51.25,log(20260915-171053).txt,/home/zhaorz/project/CodeWM/results/det_eval_tiny_snake_game_ewd_20260126_065936.csv,/home/zhaorz/project/CodeWM/results/det_eval_tiny_snake_game_ewd_20260126_065936_summary.json
