method,dataset,rule_id,retrieved_count,reported_applied_count,valid_attack_reported_count
SrcMarker,GitHub-C,block.conditionals,90,5,5
SrcMarker,GitHub-C,block.if_flat_nest,85,7,6
SrcMarker,GitHub-C,block.if_swap,45,2,2
SrcMarker,GitHub-C,block.loop_stmt,18,5,5
SrcMarker,GitHub-C,block.var_decl_reposition,95,28,28
SrcMarker,GitHub-C,expr.empty_size,115,6,6
SrcMarker,GitHub-C,expr.null_operand_swap,46,16,15
SrcMarker,GitHub-C,expr.predicate_loop_literal,66,13,13
SrcMarker,GitHub-C,expr.update_ops,65,40,40
SrcMarker,GitHub-C,id.naming_style,4,3,3
SrcMarker,GitHub-C,id.rename_local,121,105,104
SrcMarker,GitHub-Java,block.conditionals,103,3,3
SrcMarker,GitHub-Java,block.if_flat_nest,94,8,8
SrcMarker,GitHub-Java,block.if_swap,56,3,2
SrcMarker,GitHub-Java,block.loop_stmt,7,0,0
SrcMarker,GitHub-Java,block.var_decl_reposition,46,16,16
SrcMarker,GitHub-Java,expr.default_param_indexof,62,2,2
SrcMarker,GitHub-Java,expr.empty_size,99,4,4
SrcMarker,GitHub-Java,expr.null_operand_swap,43,22,22
SrcMarker,GitHub-Java,expr.predicate_loop_literal,84,9,9
SrcMarker,GitHub-Java,expr.update_ops,30,14,14
SrcMarker,GitHub-Java,id.naming_style,1,0,0
SrcMarker,GitHub-Java,id.rename_local,125,115,113
SrcMarker,CSN-JavaScript,block.conditionals,125,9,9
SrcMarker,CSN-JavaScript,block.if_flat_nest,123,15,15
SrcMarker,CSN-JavaScript,block.if_swap,112,13,13
SrcMarker,CSN-JavaScript,block.loop_stmt,23,0,0
SrcMarker,CSN-JavaScript,expr.default_param_indexof,73,24,22
SrcMarker,CSN-JavaScript,expr.null_operand_swap,45,31,31
SrcMarker,CSN-JavaScript,expr.predicate_loop_literal,65,10,10
SrcMarker,CSN-JavaScript,expr.update_ops,48,15,15
SrcMarker,CSN-JavaScript,id.naming_style,11,9,9
SrcMarker,CSN-JavaScript,id.rename_local,125,119,119
SrcMarker,CSN-Java,block.conditionals,117,2,2
SrcMarker,CSN-Java,block.if_flat_nest,119,10,10
SrcMarker,CSN-Java,block.if_swap,82,4,4
SrcMarker,CSN-Java,block.loop_stmt,3,0,0
SrcMarker,CSN-Java,block.var_decl_reposition,31,5,5
SrcMarker,CSN-Java,expr.default_param_indexof,52,3,3
SrcMarker,CSN-Java,expr.empty_size,81,8,7
SrcMarker,CSN-Java,expr.null_operand_swap,66,45,45
SrcMarker,CSN-Java,expr.predicate_loop_literal,54,4,4
SrcMarker,CSN-Java,expr.update_ops,19,10,10
SrcMarker,CSN-Java,id.naming_style,1,0,0
SrcMarker,CSN-Java,id.rename_local,125,117,117
CodeMark,GitHub-C,block.conditionals,90,8,7
CodeMark,GitHub-C,block.if_flat_nest,81,5,3
CodeMark,GitHub-C,block.if_swap,43,4,3
CodeMark,GitHub-C,block.loop_stmt,21,4,3
CodeMark,GitHub-C,block.var_decl_reposition,96,25,23
CodeMark,GitHub-C,expr.empty_size,112,9,7
CodeMark,GitHub-C,expr.null_operand_swap,48,18,17
CodeMark,GitHub-C,expr.predicate_loop_literal,70,12,11
CodeMark,GitHub-C,expr.update_ops,63,33,33
CodeMark,GitHub-C,id.naming_style,5,2,2
CodeMark,GitHub-C,id.rename_local,121,105,102
CodeMark,GitHub-Java,block.conditionals,108,5,5
CodeMark,GitHub-Java,block.if_flat_nest,94,6,6
CodeMark,GitHub-Java,block.if_swap,54,5,5
CodeMark,GitHub-Java,block.loop_stmt,6,0,0
CodeMark,GitHub-Java,block.var_decl_reposition,50,8,8
CodeMark,GitHub-Java,expr.default_param_indexof,64,3,3
CodeMark,GitHub-Java,expr.empty_size,89,7,7
CodeMark,GitHub-Java,expr.null_operand_swap,43,22,22
CodeMark,GitHub-Java,expr.predicate_loop_literal,87,0,0
CodeMark,GitHub-Java,expr.update_ops,30,8,8
CodeMark,GitHub-Java,id.rename_local,125,113,113
CodeMark,CSN-JavaScript,block.conditionals,125,14,12
CodeMark,CSN-JavaScript,block.if_flat_nest,123,21,19
CodeMark,CSN-JavaScript,block.if_swap,111,22,20
CodeMark,CSN-JavaScript,block.loop_stmt,25,0,0
CodeMark,CSN-JavaScript,expr.default_param_indexof,70,24,21
CodeMark,CSN-JavaScript,expr.null_operand_swap,43,24,21
CodeMark,CSN-JavaScript,expr.predicate_loop_literal,65,11,10
CodeMark,CSN-JavaScript,expr.update_ops,52,18,18
CodeMark,CSN-JavaScript,id.naming_style,11,9,9
CodeMark,CSN-JavaScript,id.rename_local,125,118,116
CodeMark,CSN-Java,block.conditionals,115,5,4
CodeMark,CSN-Java,block.if_flat_nest,115,11,10
CodeMark,CSN-Java,block.if_swap,81,3,2
CodeMark,CSN-Java,block.loop_stmt,3,0,0
CodeMark,CSN-Java,block.var_decl_reposition,38,2,1
CodeMark,CSN-Java,expr.default_param_indexof,56,5,4
CodeMark,CSN-Java,expr.empty_size,68,5,5
CodeMark,CSN-Java,expr.null_operand_swap,69,48,48
CodeMark,CSN-Java,expr.predicate_loop_literal,61,0,0
CodeMark,CSN-Java,expr.update_ops,17,4,4
CodeMark,CSN-Java,id.naming_style,2,2,2
CodeMark,CSN-Java,id.rename_local,125,116,115
