method,dataset,channel,n_attempted,n_paired,n_changed,n_syntax_valid,clean_BAR,clean_BAR_ci_low,clean_BAR_ci_high,attack_BAR,attack_BAR_ci_low,attack_BAR_ci_high,DeltaBAR,DeltaBAR_ci_low,DeltaBAR_ci_high,clean_MAR,clean_MAR_ci_low,clean_MAR_ci_high,attack_MAR,attack_MAR_ci_low,attack_MAR_ci_high,change_rate,syntax_valid_rate,paired_coverage,chance_BAR,chance_MAR
SrcMarker,GitHub-C,id,459,448,448,448,0.9380580357142857,0.9241071428571429,0.9508928571428571,0.5290178571428571,0.5033482142857143,0.5546875,0.4090401785714286,0.38113839285714285,0.4369419642857143,0.8147321428571429,0.7767857142857143,0.8504464285714286,0.12723214285714285,0.09821428571428571,0.15848214285714285,0.9760348583877996,0.9760348583877996,0.9760348583877996,0.5,0.0625
SrcMarker,GitHub-C,expr,459,448,448,448,0.9380580357142857,0.9241071428571429,0.9508928571428571,0.9308035714285714,0.9157366071428571,0.9447544642857143,0.007254464285714302,0.0011160714285714285,0.013950892857142858,0.8147321428571429,0.7767857142857143,0.8504464285714286,0.8035714285714286,0.765625,0.8392857142857143,0.9760348583877996,0.9760348583877996,0.9760348583877996,0.5,0.0625
SrcMarker,GitHub-C,block,459,448,448,448,0.9380580357142857,0.9241071428571429,0.9508928571428571,0.8091517857142857,0.7845982142857143,0.8331473214285714,0.12890625,0.10714285714285714,0.15122767857142858,0.8147321428571429,0.7767857142857143,0.8504464285714286,0.5625,0.515625,0.6071428571428571,0.9760348583877996,0.9760348583877996,0.9760348583877996,0.5,0.0625
SrcMarker,GitHub-C,all,459,448,448,448,0.9380580357142857,0.9241071428571429,0.9508928571428571,0.5340401785714286,0.5100446428571429,0.5580357142857143,0.4040178571428571,0.3783482142857143,0.4291294642857143,0.8147321428571429,0.7767857142857143,0.8504464285714286,0.09151785714285714,0.06696428571428571,0.11830357142857142,0.9760348583877996,0.9760348583877996,0.9760348583877996,0.5,0.0625
SrcMarker,GitHub-Java,id,551,528,528,528,0.9389204545454546,0.9261363636363636,0.9507575757575758,0.47301136363636365,0.4493371212121212,0.4966856060606061,0.46590909090909094,0.440329071969697,0.49195075757575757,0.8181818181818182,0.7859848484848485,0.8503787878787878,0.08143939393939394,0.058712121212121215,0.10606060606060606,0.9582577132486388,0.9582577132486388,0.9582577132486388,0.5,0.0625
SrcMarker,GitHub-Java,expr,551,528,528,528,0.9389204545454546,0.9261363636363636,0.9507575757575758,0.9384469696969697,0.9256628787878788,0.9502840909090909,0.00047348484848486194,0.0,0.0014204545454545455,0.8181818181818182,0.7859848484848485,0.8503787878787878,0.8181818181818182,0.7859848484848485,0.8503787878787878,0.9582577132486388,0.9582577132486388,0.9582577132486388,0.5,0.0625
SrcMarker,GitHub-Java,block,551,528,528,528,0.9389204545454546,0.9261363636363636,0.9507575757575758,0.9285037878787878,0.9147727272727273,0.9417613636363636,0.01041666666666674,0.004734848484848485,0.017045454545454544,0.8181818181818182,0.7859848484848485,0.8503787878787878,0.7992424242424242,0.7651515151515151,0.8314393939393939,0.9582577132486388,0.9582577132486388,0.9582577132486388,0.5,0.0625
SrcMarker,GitHub-Java,all,551,528,528,528,0.9389204545454546,0.9261363636363636,0.9507575757575758,0.4744318181818182,0.45075757575757575,0.49763257575757575,0.4644886363636364,0.4384469696969697,0.49053030303030304,0.8181818181818182,0.7859848484848485,0.8503787878787878,0.07575757575757576,0.05303030303030303,0.09848484848484848,0.9582577132486388,0.9582577132486388,0.9582577132486388,0.5,0.0625
SrcMarker,CSN-JavaScript,id,3150,3130,3130,3130,0.9868210862619808,0.9839456869009585,0.9895367412140575,0.4670926517571885,0.4578274760383387,0.47635982428115015,0.5197284345047923,0.5099840255591054,0.5294728434504792,0.9661341853035144,0.9597444089456869,0.9722044728434505,0.05335463258785943,0.045678913738019175,0.06134185303514377,0.9936507936507937,0.9936507936507937,0.9936507936507937,0.5,0.0625
SrcMarker,CSN-JavaScript,expr,3150,3130,3130,3130,0.9868210862619808,0.9839456869009585,0.9895367412140575,0.9874600638977635,0.9847444089456869,0.9900179712460064,-0.0006389776357826893,-0.0013578274760383386,-7.987220447284345e-05,0.9661341853035144,0.9597444089456869,0.9722044728434505,0.9674121405750798,0.9610223642172524,0.973482428115016,0.9936507936507937,0.9936507936507937,0.9936507936507937,0.5,0.0625
