watermark_method,project,language,seed_group,method_config,strength,log_category,category,classification_source,embedded,evaluation_log
codeip,brick_breaker,cpp,,brick_breaker_game_codeip_T=0.7_rngS=3047071552_gamma=3_mode=random_messageLen=20_encodeRatio=10.0_topK=1000,0.1,BE,BE,log_and_batch_summary,yes,brick_breaker/brick_breaker_cpp/results/brick_breaker_game_codeip_T=0.7_rngS=3047071552_gamma=3_mode=random_messageLen=20_encodeRatio=10.0_topK=1000/brick_breaker_game_0.1/DTResults/out_20260516_215634/evaluation.log
codeip,brick_breaker,cpp,,brick_breaker_game_codeip_T=0.7_rngS=3047071552_gamma=3_mode=random_messageLen=20_encodeRatio=10.0_topK=1000,0.5,BE,BE,log_and_batch_summary,yes,brick_breaker/brick_breaker_cpp/results/brick_breaker_game_codeip_T=0.7_rngS=3047071552_gamma=3_mode=random_messageLen=20_encodeRatio=10.0_topK=1000/brick_breaker_game_0.5/DTResults/out_20260516_222925/evaluation.log
codeip,brick_breaker,cpp,,brick_breaker_game_codeip_T=0.7_rngS=3047071552_gamma=3_mode=random_messageLen=20_encodeRatio=10.0_topK=1000,0.6,BE,BE,log_and_batch_summary,yes,brick_breaker/brick_breaker_cpp/results/brick_breaker_game_codeip_T=0.7_rngS=3047071552_gamma=3_mode=random_messageLen=20_encodeRatio=10.0_topK=1000/brick_breaker_game_0.6/DTResults/out_20260516_223614/evaluation.log
codeip,brick_breaker,cpp,,brick_breaker_game_codeip_T=0.7_rngS=3047071552_gamma=3_mode=random_messageLen=20_encodeRatio=10.0_topK=1000,0.7,BE,BE,log_and_batch_summary,yes,brick_breaker/brick_breaker_cpp/results/brick_breaker_game_codeip_T=0.7_rngS=3047071552_gamma=3_mode=random_messageLen=20_encodeRatio=10.0_topK=1000/brick_breaker_game_0.7/DTResults/out_20260516_224017/evaluation.log
codeip,brick_breaker,cpp,,brick_breaker_game_codeip_T=0.7_rngS=3047071552_gamma=3_mode=random_messageLen=20_encodeRatio=10.0_topK=1000,0.8,BE,BE,log_and_batch_summary,yes,brick_breaker/brick_breaker_cpp/results/brick_breaker_game_codeip_T=0.7_rngS=3047071552_gamma=3_mode=random_messageLen=20_encodeRatio=10.0_topK=1000/brick_breaker_game_0.8/DTResults/out_20260516_224428/evaluation.log
codeip,brick_breaker,cpp,,brick_breaker_game_codeip_T=0.7_rngS=3047071552_gamma=3_mode=random_messageLen=20_encodeRatio=10.0_topK=1000,0.9,BE,BE,log_and_batch_summary,yes,brick_breaker/brick_breaker_cpp/results/brick_breaker_game_codeip_T=0.7_rngS=3047071552_gamma=3_mode=random_messageLen=20_encodeRatio=10.0_topK=1000/brick_breaker_game_0.9/DTResults/out_20260516_224959/evaluation.log
codeip,brick_breaker,cpp,,brick_breaker_game_codeip_T=0.7_rngS=3047071552_gamma=3_mode=random_messageLen=20_encodeRatio=10.0_topK=1000,1.1,BE,BE,log_and_batch_summary,yes,brick_breaker/brick_breaker_cpp/results/brick_breaker_game_codeip_T=0.7_rngS=3047071552_gamma=3_mode=random_messageLen=20_encodeRatio=10.0_topK=1000/brick_breaker_game_1.1/DTResults/out_20260516_225940/evaluation.log
codeip,brick_breaker,cpp,,brick_breaker_game_codeip_T=0.7_rngS=3047071552_gamma=3_mode=random_messageLen=20_encodeRatio=10.0_topK=1000,1.2,BE,BE,log_and_batch_summary,yes,brick_breaker/brick_breaker_cpp/results/brick_breaker_game_codeip_T=0.7_rngS=3047071552_gamma=3_mode=random_messageLen=20_encodeRatio=10.0_topK=1000/brick_breaker_game_1.2/DTResults/out_20260516_230536/evaluation.log
codeip,brick_breaker,cpp,,brick_breaker_game_codeip_T=0.7_rngS=3047071552_gamma=3_mode=random_messageLen=20_encodeRatio=10.0_topK=1000,1.3,BE,BE,log_and_batch_summary,yes,brick_breaker/brick_breaker_cpp/results/brick_breaker_game_codeip_T=0.7_rngS=3047071552_gamma=3_mode=random_messageLen=20_encodeRatio=10.0_topK=1000/brick_breaker_game_1.3/DTResults/out_20260516_231001/evaluation.log
codeip,brick_breaker,cpp,,brick_breaker_game_codeip_T=0.7_rngS=3047071552_gamma=3_mode=random_messageLen=20_encodeRatio=10.0_topK=1000,1.4,BE,BE,log_and_batch_summary,yes,brick_breaker/brick_breaker_cpp/results/brick_breaker_game_codeip_T=0.7_rngS=3047071552_gamma=3_mode=random_messageLen=20_encodeRatio=10.0_topK=1000/brick_breaker_game_1.4/DTResults/out_20260516_231415/evaluation.log
codeip,brick_breaker,cpp,,brick_breaker_game_codeip_T=0.7_rngS=3047071552_gamma=3_mode=random_messageLen=20_encodeRatio=10.0_topK=1000,1.5,BE,BE,log_and_batch_summary,yes,brick_breaker/brick_breaker_cpp/results/brick_breaker_game_codeip_T=0.7_rngS=3047071552_gamma=3_mode=random_messageLen=20_encodeRatio=10.0_topK=1000/brick_breaker_game_1.5/DTResults/out_20260516_231833/evaluation.log
codeip,brick_breaker,cpp,,brick_breaker_game_codeip_T=0.7_rngS=3047071552_gamma=3_mode=random_messageLen=20_encodeRatio=10.0_topK=1000,1.6,BE,BE,log_and_batch_summary,yes,brick_breaker/brick_breaker_cpp/results/brick_breaker_game_codeip_T=0.7_rngS=3047071552_gamma=3_mode=random_messageLen=20_encodeRatio=10.0_topK=1000/brick_breaker_game_1.6/DTResults/out_20260516_232446/evaluation.log
codeip,brick_breaker,cpp,,brick_breaker_game_codeip_T=0.7_rngS=3047071552_gamma=3_mode=random_messageLen=20_encodeRatio=10.0_topK=1000,1.7,BE,BE,log_and_batch_summary,yes,brick_breaker/brick_breaker_cpp/results/brick_breaker_game_codeip_T=0.7_rngS=3047071552_gamma=3_mode=random_messageLen=20_encodeRatio=10.0_topK=1000/brick_breaker_game_1.7/DTResults/out_20260516_232913/evaluation.log
codeip,brick_breaker,cpp,,brick_breaker_game_codeip_T=0.7_rngS=3047071552_gamma=3_mode=random_messageLen=20_encodeRatio=10.0_topK=1000,1.8,BE,BE,log_and_batch_summary,yes,brick_breaker/brick_breaker_cpp/results/brick_breaker_game_codeip_T=0.7_rngS=3047071552_gamma=3_mode=random_messageLen=20_encodeRatio=10.0_topK=1000/brick_breaker_game_1.8/DTResults/out_20260516_233329/evaluation.log
codeip,brick_breaker,cpp,,brick_breaker_game_codeip_T=0.7_rngS=3047071552_gamma=3_mode=random_messageLen=20_encodeRatio=10.0_topK=1000,1.9,BE,BE,log_and_batch_summary,yes,brick_breaker/brick_breaker_cpp/results/brick_breaker_game_codeip_T=0.7_rngS=3047071552_gamma=3_mode=random_messageLen=20_encodeRatio=10.0_topK=1000/brick_breaker_game_1.9/DTResults/out_20260516_233734/evaluation.log
codeip,brick_breaker,cpp,,brick_breaker_game_codeip_T=0.7_rngS=3047071552_gamma=3_mode=random_messageLen=20_encodeRatio=10.0_topK=1000,2.0,BE,BE,log_and_batch_summary,yes,brick_breaker/brick_breaker_cpp/results/brick_breaker_game_codeip_T=0.7_rngS=3047071552_gamma=3_mode=random_messageLen=20_encodeRatio=10.0_topK=1000/brick_breaker_game_2.0/DTResults/out_20260516_234149/evaluation.log
