Repository,Method,AUROC_0.5,AUROC_1.0,AUROC_2.0,AUROC_3.0,Pool,FNR5
Brick Breaker,WLLM,62.75,73.50,94.75,97.50,82.13,47.50
Brick Breaker,EWD,96.50,100.00,100.00,100.00,99.13,6.25
Brick Breaker,SWEET,80.75,96.00,100.00,100.00,94.19,21.25
Brick Breaker,STONE,56.25,55.50,69.75,81.00,65.63,75.00
Brick Breaker,Waterfall,48.75,79.25,92.00,100.00,80.00,46.25
Calculator,WLLM,47.75,65.00,74.75,74.25,65.44,90.00
Calculator,EWD,0.00,0.00,6.00,9.25,3.81,98.75
Calculator,SWEET,75.00,94.50,100.00,100.00,92.38,21.25
Calculator,STONE,40.88,43.38,48.00,63.00,48.81,92.50
Calculator,Waterfall,59.75,65.00,76.00,93.00,73.44,73.75
Snake Game,WLLM,54.75,64.75,83.50,85.25,72.06,63.75
Snake Game,EWD,79.00,83.00,91.75,96.75,87.63,51.25
Snake Game,SWEET,77.50,98.00,100.00,100.00,93.88,18.75
Snake Game,STONE,49.75,48.25,32.00,54.25,46.06,82.50
Snake Game,Waterfall,57.25,50.75,39.00,35.25,45.56,77.50
Flappy Bird,WLLM,56.75,71.50,83.25,86.50,74.50,62.50
Flappy Bird,EWD,24.75,45.50,81.50,94.25,61.50,76.25
Flappy Bird,SWEET,87.75,97.00,99.75,100.00,96.13,8.75
Flappy Bird,STONE,65.00,67.75,82.75,76.75,73.06,75.00
Flappy Bird,Waterfall,70.25,92.00,99.00,100.00,90.31,23.75
