source_log,repository,method,scope,strength,auroc,npos,nneg,fpr_percent,tpr,threshold
log(10).txt,Flappy Bird,EWD,pooled,,0.615,80,20,,,
log(10).txt,Flappy Bird,EWD,pooled_tpr,,,80,20,0.1,0.0875,1.006207
log(10).txt,Flappy Bird,EWD,pooled_tpr,,,80,20,1.0,0.0875,1.006207
log(10).txt,Flappy Bird,EWD,pooled_tpr,,,80,20,5.0,0.2375,0.742059
log(10).txt,Flappy Bird,EWD,pooled_tpr,,,80,20,10.0,0.3875,0.499986
log(10).txt,Flappy Bird,EWD,per_strength,0.5,0.2475,20,20,,,
log(10).txt,Flappy Bird,EWD,per_strength_tpr,0.5,,20,20,0.1,0.0,0.987334
log(10).txt,Flappy Bird,EWD,per_strength_tpr,0.5,,20,20,1.0,0.0,0.987334
log(10).txt,Flappy Bird,EWD,per_strength_tpr,0.5,,20,20,5.0,0.0,0.987334
log(10).txt,Flappy Bird,EWD,per_strength_tpr,0.5,,20,20,10.0,0.0,0.741261
log(10).txt,Flappy Bird,EWD,per_strength,1.0,0.455,20,20,,,
log(10).txt,Flappy Bird,EWD,per_strength_tpr,1.0,,20,20,0.1,0.0,0.987334
log(10).txt,Flappy Bird,EWD,per_strength_tpr,1.0,,20,20,1.0,0.0,0.987334
log(10).txt,Flappy Bird,EWD,per_strength_tpr,1.0,,20,20,5.0,0.05,0.777665
log(10).txt,Flappy Bird,EWD,per_strength_tpr,1.0,,20,20,10.0,0.05,0.741261
log(10).txt,Flappy Bird,EWD,per_strength,2.0,0.815,20,20,,,
log(10).txt,Flappy Bird,EWD,per_strength_tpr,2.0,,20,20,0.1,0.05,1.165358
log(10).txt,Flappy Bird,EWD,per_strength_tpr,2.0,,20,20,1.0,0.05,1.165358
log(10).txt,Flappy Bird,EWD,per_strength_tpr,2.0,,20,20,5.0,0.2,0.760578
log(10).txt,Flappy Bird,EWD,per_strength_tpr,2.0,,20,20,10.0,0.6,0.509153
log(10).txt,Flappy Bird,EWD,per_strength,3.0,0.9425,20,20,,,
log(10).txt,Flappy Bird,EWD,per_strength_tpr,3.0,,20,20,0.1,0.3,1.006207
log(10).txt,Flappy Bird,EWD,per_strength_tpr,3.0,,20,20,1.0,0.3,1.006207
log(10).txt,Flappy Bird,EWD,per_strength_tpr,3.0,,20,20,5.0,0.7,0.742059
log(10).txt,Flappy Bird,EWD,per_strength_tpr,3.0,,20,20,10.0,0.9,0.499986
log(10).txt,Flappy Bird,STONE,pooled,,0.730625,80,20,,,
log(10).txt,Flappy Bird,STONE,pooled_tpr,,,80,20,0.1,0.2,49.960048
log(10).txt,Flappy Bird,STONE,pooled_tpr,,,80,20,1.0,0.2,49.960048
log(10).txt,Flappy Bird,STONE,pooled_tpr,,,80,20,5.0,0.25,49.440248
log(10).txt,Flappy Bird,STONE,pooled_tpr,,,80,20,10.0,0.35,49.079097
log(10).txt,Flappy Bird,STONE,per_strength,0.5,0.65,20,20,,,
log(10).txt,Flappy Bird,STONE,per_strength_tpr,0.5,,20,20,0.1,0.0,49.906479
log(10).txt,Flappy Bird,STONE,per_strength_tpr,0.5,,20,20,1.0,0.0,49.906479
log(10).txt,Flappy Bird,STONE,per_strength_tpr,0.5,,20,20,5.0,0.05,49.440248
log(10).txt,Flappy Bird,STONE,per_strength_tpr,0.5,,20,20,10.0,0.1,49.318657
log(10).txt,Flappy Bird,STONE,per_strength,1.0,0.6775,20,20,,,
log(10).txt,Flappy Bird,STONE,per_strength_tpr,1.0,,20,20,0.1,0.1,50.14296
log(10).txt,Flappy Bird,STONE,per_strength_tpr,1.0,,20,20,1.0,0.1,50.14296
log(10).txt,Flappy Bird,STONE,per_strength_tpr,1.0,,20,20,5.0,0.15,49.887941
log(10).txt,Flappy Bird,STONE,per_strength_tpr,1.0,,20,20,10.0,0.35,49.079097
log(10).txt,Flappy Bird,STONE,per_strength,2.0,0.8275,20,20,,,
log(10).txt,Flappy Bird,STONE,per_strength_tpr,2.0,,20,20,0.1,0.35,49.960048
log(10).txt,Flappy Bird,STONE,per_strength_tpr,2.0,,20,20,1.0,0.35,49.960048
log(10).txt,Flappy Bird,STONE,per_strength_tpr,2.0,,20,20,5.0,0.35,49.906479
log(10).txt,Flappy Bird,STONE,per_strength_tpr,2.0,,20,20,10.0,0.5,49.083515
log(10).txt,Flappy Bird,STONE,per_strength,3.0,0.7675,20,20,,,
log(10).txt,Flappy Bird,STONE,per_strength_tpr,3.0,,20,20,0.1,0.35,49.971897
log(10).txt,Flappy Bird,STONE,per_strength_tpr,3.0,,20,20,1.0,0.35,49.971897
log(10).txt,Flappy Bird,STONE,per_strength_tpr,3.0,,20,20,5.0,0.45,49.518404
log(10).txt,Flappy Bird,STONE,per_strength_tpr,3.0,,20,20,10.0,0.45,49.396948
log(10).txt,Flappy Bird,SWEET,pooled,,0.96125,80,20,,,
log(10).txt,Flappy Bird,SWEET,pooled_tpr,,,80,20,0.1,0.6,2.913858
log(10).txt,Flappy Bird,SWEET,pooled_tpr,,,80,20,1.0,0.6,2.913858
log(10).txt,Flappy Bird,SWEET,pooled_tpr,,,80,20,5.0,0.9125,1.0
log(10).txt,Flappy Bird,SWEET,pooled_tpr,,,80,20,10.0,0.9125,0.964901
log(10).txt,Flappy Bird,SWEET,per_strength,0.5,0.8775,20,20,,,
log(10).txt,Flappy Bird,SWEET,per_strength_tpr,0.5,,20,20,0.1,0.05,3.666314
log(10).txt,Flappy Bird,SWEET,per_strength_tpr,0.5,,20,20,1.0,0.05,3.666314
log(10).txt,Flappy Bird,SWEET,per_strength_tpr,0.5,,20,20,5.0,0.65,1.0
log(10).txt,Flappy Bird,SWEET,per_strength_tpr,0.5,,20,20,10.0,0.65,0.964901
log(10).txt,Flappy Bird,SWEET,per_strength,1.0,0.97,20,20,,,
log(10).txt,Flappy Bird,SWEET,per_strength_tpr,1.0,,20,20,0.1,0.4,2.913858
log(10).txt,Flappy Bird,SWEET,per_strength_tpr,1.0,,20,20,1.0,0.4,2.913858
log(10).txt,Flappy Bird,SWEET,per_strength_tpr,1.0,,20,20,5.0,1.0,1.492405
log(10).txt,Flappy Bird,SWEET,per_strength_tpr,1.0,,20,20,10.0,1.0,0.964901
log(10).txt,Flappy Bird,SWEET,per_strength,2.0,0.9975,20,20,,,
log(10).txt,Flappy Bird,SWEET,per_strength_tpr,2.0,,20,20,0.1,0.95,3.487429
log(10).txt,Flappy Bird,SWEET,per_strength_tpr,2.0,,20,20,1.0,0.95,3.487429
log(10).txt,Flappy Bird,SWEET,per_strength_tpr,2.0,,20,20,5.0,1.0,2.645751
log(10).txt,Flappy Bird,SWEET,per_strength_tpr,2.0,,20,20,10.0,1.0,0.964901
log(10).txt,Flappy Bird,SWEET,per_strength,3.0,1.0,20,20,,,
log(10).txt,Flappy Bird,SWEET,per_strength_tpr,3.0,,20,20,0.1,1.0,4.129483
log(10).txt,Flappy Bird,SWEET,per_strength_tpr,3.0,,20,20,1.0,1.0,4.129483
log(10).txt,Flappy Bird,SWEET,per_strength_tpr,3.0,,20,20,5.0,1.0,2.745626
log(10).txt,Flappy Bird,SWEET,per_strength_tpr,3.0,,20,20,10.0,1.0,0.964901
log(10).txt,Flappy Bird,Waterfall,pooled,,0.903125,80,20,,,
log(10).txt,Flappy Bird,Waterfall,pooled_tpr,,,80,20,0.1,0.6375,0.026733
log(10).txt,Flappy Bird,Waterfall,pooled_tpr,,,80,20,1.0,0.6375,0.026733
log(10).txt,Flappy Bird,Waterfall,pooled_tpr,,,80,20,5.0,0.7625,0.015396
log(10).txt,Flappy Bird,Waterfall,pooled_tpr,,,80,20,10.0,0.7875,0.01407
log(10).txt,Flappy Bird,Waterfall,per_strength,0.5,0.7025,20,20,,,
log(10).txt,Flappy Bird,Waterfall,per_strength_tpr,0.5,,20,20,0.1,0.15,0.028266
log(10).txt,Flappy Bird,Waterfall,per_strength_tpr,0.5,,20,20,1.0,0.15,0.028266
log(10).txt,Flappy Bird,Waterfall,per_strength_tpr,0.5,,20,20,5.0,0.35,0.015396
log(10).txt,Flappy Bird,Waterfall,per_strength_tpr,0.5,,20,20,10.0,0.4,0.014238
log(10).txt,Flappy Bird,Waterfall,per_strength,1.0,0.92,20,20,,,
log(10).txt,Flappy Bird,Waterfall,per_strength_tpr,1.0,,20,20,0.1,0.55,0.026733
log(10).txt,Flappy Bird,Waterfall,per_strength_tpr,1.0,,20,20,1.0,0.55,0.026733
log(10).txt,Flappy Bird,Waterfall,per_strength_tpr,1.0,,20,20,5.0,0.75,0.017179
log(10).txt,Flappy Bird,Waterfall,per_strength_tpr,1.0,,20,20,10.0,0.75,0.014268
log(10).txt,Flappy Bird,Waterfall,per_strength,2.0,0.99,20,20,,,
log(10).txt,Flappy Bird,Waterfall,per_strength_tpr,2.0,,20,20,0.1,0.85,0.041283
log(10).txt,Flappy Bird,Waterfall,per_strength_tpr,2.0,,20,20,1.0,0.85,0.041283
log(10).txt,Flappy Bird,Waterfall,per_strength_tpr,2.0,,20,20,5.0,0.95,0.015481
log(10).txt,Flappy Bird,Waterfall,per_strength_tpr,2.0,,20,20,10.0,1.0,0.01407
log(10).txt,Flappy Bird,Waterfall,per_strength,3.0,1.0,20,20,,,
log(10).txt,Flappy Bird,Waterfall,per_strength_tpr,3.0,,20,20,0.1,1.0,0.036434
log(10).txt,Flappy Bird,Waterfall,per_strength_tpr,3.0,,20,20,1.0,1.0,0.036434
log(10).txt,Flappy Bird,Waterfall,per_strength_tpr,3.0,,20,20,5.0,1.0,0.025197
log(10).txt,Flappy Bird,Waterfall,per_strength_tpr,3.0,,20,20,10.0,1.0,0.014268
log(10).txt,Flappy Bird,WLLM,pooled,,0.745,80,20,,,
log(10).txt,Flappy Bird,WLLM,pooled_tpr,,,80,20,0.1,0.1875,2.296176
log(10).txt,Flappy Bird,WLLM,pooled_tpr,,,80,20,1.0,0.1875,2.296176
log(10).txt,Flappy Bird,WLLM,pooled_tpr,,,80,20,5.0,0.375,1.855921
log(10).txt,Flappy Bird,WLLM,pooled_tpr,,,80,20,10.0,0.575,1.492729
log(10).txt,Flappy Bird,WLLM,per_strength,0.5,0.5675,20,20,,,
log(10).txt,Flappy Bird,WLLM,per_strength_tpr,0.5,,20,20,0.1,0.0,2.295833
log(10).txt,Flappy Bird,WLLM,per_strength_tpr,0.5,,20,20,1.0,0.0,2.295833
log(10).txt,Flappy Bird,WLLM,per_strength_tpr,0.5,,20,20,5.0,0.05,1.928807
log(10).txt,Flappy Bird,WLLM,per_strength_tpr,0.5,,20,20,10.0,0.35,1.49988
log(10).txt,Flappy Bird,WLLM,per_strength,1.0,0.715,20,20,,,
log(10).txt,Flappy Bird,WLLM,per_strength_tpr,1.0,,20,20,0.1,0.1,2.341049
log(10).txt,Flappy Bird,WLLM,per_strength_tpr,1.0,,20,20,1.0,0.1,2.341049
log(10).txt,Flappy Bird,WLLM,per_strength_tpr,1.0,,20,20,5.0,0.35,1.930232
log(10).txt,Flappy Bird,WLLM,per_strength_tpr,1.0,,20,20,10.0,0.55,1.492729
log(10).txt,Flappy Bird,WLLM,per_strength,2.0,0.8325,20,20,,,
log(10).txt,Flappy Bird,WLLM,per_strength_tpr,2.0,,20,20,0.1,0.3,2.297592
log(10).txt,Flappy Bird,WLLM,per_strength_tpr,2.0,,20,20,1.0,0.3,2.297592
log(10).txt,Flappy Bird,WLLM,per_strength_tpr,2.0,,20,20,5.0,0.6,1.855921
